fg_classification,trades,avg_trade_usd,total_volume_usd,total_closed_pnl,avg_fee,buy_ratio
Fear,61837,7816.109930785776,483324789.79,3357155.441642,1.495171962969659,0.4895127512654236
Greed,50303,5736.884375086974,288582494.72,2150129.272951,1.254372343183673,0.488559330457428
Extreme Greed,39992,3112.2515645629123,124465164.57,2715171.310673,0.6759018169921485,0.4485897179435887
Neutral,37686,4782.732661465797,180242063.08,1292920.67555,1.044798288591806,0.5033434166533991
Extreme Fear,21400,5349.7318429906545,114484261.44,739110.24849,1.116291305578827,0.5109813084112149
