coin,trades,total_volume_usd,total_closed_pnl,mean_trade_usd
@24,3,2.71,-0.002936,0.9033333333333333
@28,2,1.74,0.0,0.87
@114,2,1.32,1.309077,0.66
@15,2,1.11,0.0,0.555
@21,1,0.94,0.0,0.94
@19,2,0.81,0.0,0.405
@34,2,0.81,0.0,0.405
@44,3,0.77,0.0,0.25666666666666665
@42,1,0.74,0.0,0.74
@30,1,0.69,0.0,0.69
@48,1,0.68,0.0,0.68
@25,1,0.65,0.0,0.65
@61,1,0.62,0.0,0.62
@11,1,0.61,0.0,0.61
@46,3,0.5700000000000001,0.0,0.19000000000000003
@45,1,0.54,0.0,0.54
@18,1,0.46,0.0,0.46
@7,1,0.03,0.0,0.03
@6,1,0.03,0.0,0.03
@32,1,0.01,0.0,0.01
@17,1,0.0,0.0,0.0
